"Wijken en buurten";"Inkomen/Inkomen van huishoudens/Gem. gestandaardiseerd inkomen van huish (x 1 000 euro)";"Inkomen/Inkomen van huishoudens/40% huishoudens met laagste inkomen (%)";"Inkomen/Inkomen van huishoudens/20% huishoudens met hoogste inkomen (%)";"Inkomen/Inkomen van huishoudens/Huishoudens met een laag inkomen (%)";"Inkomen/Inkomen van huishoudens/Huish. onder of rond sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Huishoudens tot 110% van sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Huishoudens tot 120% van sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Mediaan vermogen van particuliere huish. (x 1 000 euro)"
"Amsterdam";"    42.5";"    49.6";"    18.1";"     9.2";"    11.5";"    15.3";"    18.1";"    13.9"
"Haarlemmerbuurt";"    49.9";"    48.9";"    19.5";"     9.6";"    11.6";"    15.4";"    18.3";"    35.2"
"Planciusbuurt-Noord";"    33.9";"    58.9";"     6.3";"    12.7";"    12.7";"    18.1";"    21.1";"     6.6"
"Westelijke eilanden";"    40.9";"    52.7";"    19.0";"    10.0";"    11.8";"    16.0";"    18.6";"    39.8"
"Westerdokseiland";"    69.6";"    30.8";"    33.4";"     6.3";"     9.7";"    11.9";"    14.4";"   150.4"
"Planciusbuurt-Zuid";"    27.5";"    76.3";"     1.7";"    22.3";"    24.1";"    31.3";"    35.7";"     2.9"
"Haarlemmerbuurt-West";"    44.9";"    51.3";"    16.6";"    11.2";"    13.1";"    17.3";"    20.8";"    24.4"
"Haarlemmerbuurt-Oost";"    60.6";"    50.8";"    16.3";"     7.8";"     9.1";"    12.1";"    15.0";"    32.2"
"Jordaan";"    46.2";"    55.3";"    15.5";"    10.6";"    12.7";"    16.7";"    19.5";"    22.2"
"Marnixbuurt-Noord";"    35.9";"    59.3";"    13.8";"    10.4";"    14.1";"    18.8";"    22.4";"     9.4"
"Driehoekbuurt";"    38.6";"    56.5";"    13.5";"    11.5";"    13.2";"    17.5";"    20.0";"    19.1"
"Anjeliersbuurt-Noord";"    51.1";"    51.1";"    18.3";"     8.8";"    10.4";"    13.9";"    17.0";"    30.1"
"Zaagpoortbuurt";"    30.7";"    71.3";"     6.5";"    16.3";"    18.3";"    24.7";"    27.4";"     3.9"
"Anjeliersbuurt-Zuid";"    38.8";"    56.6";"    14.4";"    10.8";"    13.3";"    17.8";"    21.0";"    25.9"
"Marnixbuurt-Midden";"    52.3";"    40.2";"    26.6";"     5.3";"     5.3";"     6.1";"     7.9";"    38.5"
"Bloemgrachtbuurt";"    52.2";"    49.8";"    19.1";"     9.5";"    10.9";"    14.1";"    16.3";"    32.2"
"Groenmarktkadebuurt";"    53.2";"    45.2";"    23.6";"     4.9";"     4.9";"     7.1";"     9.2";"    23.4"
"Marnixbuurt-Zuid";"    37.2";"    60.1";"    10.1";"    12.6";"    13.7";"    16.5";"    19.3";"    25.1"
"Elandsgrachtbuurt";"    56.4";"    55.5";"    15.8";"    10.1";"    13.1";"    16.8";"    19.3";"    23.2"
"Passeerdersgrachtbuurt";"    53.8";"    50.9";"    17.6";"    12.2";"    12.9";"    17.3";"    20.5";"    64.0"
"Grachtengordel-West";"    95.6";"    39.7";"    29.7";"     8.1";"     7.9";"     9.4";"    10.7";"    97.9"
"Langestraat e.o.";"    93.7";"    38.0";"    30.2";"     8.4";"     8.2";"     9.8";"    10.8";"   244.4"
"Leliegracht e.o.";"   108.8";"    40.7";"    29.7";"     7.9";"     7.8";"     8.7";"    10.0";"    77.7"
"Felix Meritisbuurt";"    81.5";"    39.6";"    28.2";"     7.5";"     7.6";"     9.3";"    10.7";"    78.8"
"Leidsegracht-Noord";"   109.4";"    42.3";"    32.5";"     9.4";"     8.4";"     9.9";"    11.4";"    55.6"
"Burgwallen-Nieuwe Zijde";"    39.0";"    53.9";"    13.5";"     9.0";"     8.8";"    11.2";"    12.8";"     6.8"
"Stationsplein e.o.";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"Hemelrijk";"    36.7";"    55.5";"    12.6";"    11.4";"    10.8";"    13.9";"    14.5";"     7.5"
"Nieuwendijk-Noord";"    37.6";"    58.5";"     8.8";"    13.8";"    13.8";"    16.3";"    17.7";"     4.6"
"Spuistraat-Noord";"    41.5";"    51.7";"    13.8";"     8.1";"     7.7";"    10.1";"    10.7";"     7.7"
"Nieuwe Kerk e.o.";"    37.8";"    51.0";"    15.2";"     6.5";"     6.3";"     8.1";"     9.5";"     5.6"
"Spuistraat-Zuid";"    42.7";"    52.9";"    16.7";"     9.6";"     9.4";"    12.5";"    14.3";"    12.1"
"Begijnhofbuurt";"    35.5";"    60.1";"     9.2";"     7.4";"     7.7";"    10.0";"    14.7";"     5.6"
"Kalverdriehoek";"    38.0";"    49.8";"    15.6";"     6.8";"     6.2";"     7.4";"     8.0";"     3.8"
"Burgwallen-Oude Zijde";"    38.2";"    60.8";"    10.1";"    12.2";"    12.6";"    16.0";"    18.3";"     5.2"
"Kop Zeedijk";"    38.9";"    58.2";"     9.5";"    11.0";"    12.1";"    14.4";"    16.8";"     6.6"
"Oude Kerk e.o.";"    40.3";"    65.0";"     9.2";"    14.9";"    14.9";"    19.3";"    22.1";"     4.4"
"Burgwallen-Oost";"    35.2";"    63.1";"     8.9";"    13.2";"    13.0";"    17.7";"    19.7";"     3.7"
"Nes e.o.";"    48.9";"    42.4";"    17.2";"     8.3";"     9.2";"    10.1";"    11.9";"    14.1"
"BG-terrein e.o.";"    36.3";"    64.5";"    11.5";"    11.6";"    12.1";"    14.7";"    18.2";"     5.9"
"Nieuwmarkt/Lastage";"    49.3";"    51.0";"    18.0";"     8.2";"    11.2";"    14.6";"    17.0";"    29.6"
"Oosterdokseiland";"    62.7";"    32.4";"    28.8";"     6.4";"     6.8";"     8.9";"     9.3";"    19.0"
"Lastage";"    53.4";"    44.9";"    19.8";"     7.5";"     9.1";"    11.5";"    13.0";"    50.1"
"Scheepvaarthuisbuurt";"    50.6";"    44.4";"    23.0";"     6.2";"     6.5";"     7.0";"     7.5";"    56.8"
"Rapenburg";"    48.1";"    51.7";"    18.2";"     6.9";"     8.6";"    10.9";"    12.0";"    19.5"
"Nieuwmarkt";"    35.0";"    62.1";"    10.4";"    11.6";"    17.0";"    22.6";"    26.8";"    17.0"
"Uilenburg";"    49.4";"    45.7";"    23.4";"     8.8";"    11.6";"    15.3";"    17.1";"    44.2"
"Valkenburg";"    42.0";"    49.3";"    18.5";"     4.7";"     9.5";"    13.0";"    15.0";"    60.8"
"Zuiderkerkbuurt";"       .";"    55.6";"    15.7";"    10.1";"    13.3";"    16.8";"    20.2";"    21.4"
"Waterloopleinbuurt";"    48.6";"    53.6";"    15.3";"     6.4";"     9.4";"    13.0";"    16.2";"    30.6"
"Grachtengordel-Zuid";"   109.2";"    41.9";"    26.2";"     6.8";"     6.5";"     7.5";"     8.6";"    39.8"
"Leidsegracht-Zuid";"    72.1";"    41.3";"    27.5";"     7.0";"     7.0";"     8.6";"     8.9";"    74.7"
"Geelvinckbuurt";"    49.5";"    52.3";"    14.7";"     4.2";"     3.6";"     4.2";"     7.8";"     4.4"
"Rembrandtplein e.o.";"    65.5";"    45.6";"    14.5";"     7.0";"     6.1";"     7.4";"     8.1";"     4.2"
"Spiegelbuurt";"   114.2";"    39.0";"    29.9";"     5.5";"     5.7";"     6.2";"     6.9";"   120.7"
"Vijzelstraatbuurt";"    98.6";"    40.1";"    31.1";"     6.3";"     6.3";"     6.9";"     8.0";"   157.5"
"Amstelveldbuurt";"   178.1";"    40.4";"    29.9";"     8.4";"     7.9";"     9.0";"    10.4";"   183.8"
"De Weteringschans";"    83.2";"    42.9";"    24.0";"     7.1";"     7.7";"     9.5";"    11.1";"    39.8"
"Leidsebuurt-Noordwest";"    42.6";"    47.1";"    14.7";"     4.0";"     4.5";"     5.1";"     5.1";"    18.2"
"Leidsebuurt-Noordoost";"    43.3";"    48.5";"    15.2";"     7.3";"     7.3";"     9.1";"    10.1";"     7.7"
"Weteringbuurt";"       .";"    43.2";"    24.1";"     7.4";"     7.5";"     9.3";"    11.0";"    43.7"
"Utrechtsebuurt-Zuid";"    54.5";"    41.6";"    23.9";"     6.9";"     8.0";"    10.7";"    12.2";"    95.9"
"Leidsebuurt-Zuidwest";"    36.5";"    61.5";"    14.7";"       .";"       .";"       .";"       .";"     7.0"
"Leidsebuurt-Zuidoost";"    59.7";"    48.1";"    19.0";"     7.9";"     9.7";"    10.3";"    12.1";"    26.2"
"Den Texbuurt";"    58.3";"    37.7";"    31.4";"     6.6";"     8.2";"     9.8";"    11.6";"    96.5"
"Frederikspleinbuurt";"    90.8";"    35.6";"    33.7";"     7.7";"     8.1";"     9.6";"    11.8";"    95.9"
"Weesperbuurt/Plantage";"    59.8";"    46.2";"    22.4";"     7.6";"     9.0";"    11.7";"    13.4";"    42.4"
"Weesperbuurt";"    62.0";"    51.7";"    18.7";"     7.0";"     9.5";"    12.9";"    14.8";"    27.6"
"Plantage";"    71.7";"    36.0";"    26.9";"     6.5";"     6.3";"     8.2";"     9.6";"   135.4"
"Sarphatistrook";"    45.1";"    50.3";"    21.9";"    10.0";"    11.9";"    14.6";"    16.5";"    21.3"
"Alexanderplein e.o.";"    45.4";"    40.6";"    29.1";"     7.7";"     6.7";"     8.6";"     9.6";"   120.1"
