"Wijken en buurten";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Leeftijdsgroepen/0 tot 15 jaar (aantal)";"Bevolking/Leeftijdsgroepen/15 tot 25 jaar (aantal)";"Bevolking/Leeftijdsgroepen/25 tot 45 jaar (aantal)";"Bevolking/Leeftijdsgroepen/45 tot 65 jaar (aantal)";"Bevolking/Leeftijdsgroepen/65 jaar of ouder (aantal)"
"Amsterdam";918117;124270;120404;335216;215053;123174
"Amsterdamse Bos";65;5;5;10;20;20
"Amsterdamse Poort e.o.";8260;1005;2270;2665;1700;615
"Amsterdamse Poort";1300;140;270;320;380;195
"Wijk 06 Nieuw-Amsterdam";4730;670;550;975;1465;1075
"Nieuw-Amsterdam-Centrum";4290;630;495;895;1285;980
"Verspreide huizen Nieuw-Amsterdam";140;15;20;30;45;30
"Amsterdamscheveld";210;30;10;50;60;50
"Amsterdamsewijk";8180;1225;715;3000;2025;1215
"Oude Amsterdamsebuurt";2740;350;260;935;700;495
"Buitengeb. ten Z. v. Amsterdam-Rijnkanaa";220;35;20;40;80;50
