"Wijken en buurten";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Leeftijdsgroepen/0 tot 15 jaar (aantal)";"Bevolking/Leeftijdsgroepen/15 tot 25 jaar (aantal)";"Bevolking/Leeftijdsgroepen/25 tot 45 jaar (aantal)";"Bevolking/Leeftijdsgroepen/45 tot 65 jaar (aantal)";"Bevolking/Leeftijdsgroepen/65 jaar of ouder (aantal)"
"Amsterdam";918117;124270;120404;335216;215053;123174
"Haarlemmerbuurt";9135;810;855;3055;2640;1775
"Planciusbuurt-Noord";345;15;25;180;90;35
"Westelijke eilanden";2910;290;260;910;870;585
"Westerdokseiland";1825;210;140;515;550;410
"Planciusbuurt-Zuid";165;10;10;65;55;30
"Haarlemmerbuurt-West";2375;190;240;810;685;445
"Haarlemmerbuurt-Oost";1515;95;180;575;400;270
"Jordaan";19545;1445;2175;7280;5180;3460
"Marnixbuurt-Noord";1455;125;135;540;405;260
"Driehoekbuurt";2725;215;295;1065;695;450
"Anjeliersbuurt-Noord";2095;155;250;675;630;380
"Zaagpoortbuurt";915;50;115;450;215;85
"Anjeliersbuurt-Zuid";2915;225;305;905;905;575
"Marnixbuurt-Midden";215;15;25;125;30;15
"Bloemgrachtbuurt";2980;245;365;1135;750;485
"Groenmarktkadebuurt";310;10;80;155;35;25
"Marnixbuurt-Zuid";700;30;45;280;145;195
"Elandsgrachtbuurt";4325;320;470;1590;1135;810
"Passeerdersgrachtbuurt";915;50;100;355;240;180
"Grachtengordel-West";6585;460;920;2440;1665;1105
"Langestraat e.o.";1895;160;240;610;500;395
"Leliegracht e.o.";1870;120;310;720;450;265
"Felix Meritisbuurt";2075;120;260;825;545;320
"Leidsegracht-Noord";740;50;105;285;175;120
"Burgwallen-Nieuwe Zijde";4335;160;800;2240;795;345
"Stationsplein e.o.";5;0;0;0;0;0
"Hemelrijk";565;20;110;275;135;35
"Nieuwendijk-Noord";505;20;95;270;95;25
"Spuistraat-Noord";890;30;175;470;145;70
"Nieuwe Kerk e.o.";790;40;155;405;145;45
"Spuistraat-Zuid";785;35;125;405;145;85
"Begijnhofbuurt";460;5;70;230;75;75
"Kalverdriehoek";335;15;80;175;50;20
"Burgwallen-Oude Zijde";4565;195;830;2160;925;465
"Kop Zeedijk";1155;50;155;570;280;105
"Oude Kerk e.o.";740;25;180;345;120;70
"Burgwallen-Oost";1600;75;295;760;300;170
"Nes e.o.";375;15;70;185;80;30
"BG-terrein e.o.";695;30;135;300;150;90
"Nieuwmarkt/Lastage";9910;700;1300;3410;2540;1965
"Oosterdokseiland";505;55;25;230;135;55
"Lastage";1100;75;130;430;295;170
"Scheepvaarthuisbuurt";745;55;150;270;170;105
"Rapenburg";995;85;230;345;225;115
"Nieuwmarkt";1585;105;165;405;430;475
"Uilenburg";1245;80;140;455;350;220
