"ID";"Leeftijd";"Marges";"WijkenEnBuurten";"Perioden";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"MoeiteMetRondkomen_32"
"0";"20300";"MW00000";"NL01      ";"2012JJ00";"Nederland                               ";"Land    ";"NL01      ";"24"
"1";"20300";"MW00000";"NL01      ";"2016JJ00";"Nederland                               ";"Land    ";"NL01      ";"19.2"
"2";"20300";"MW00000";"NL01      ";"2020JJ00";"Nederland                               ";"Land    ";"NL01      ";"14.1"
"3";"20300";"MW00000";"NL01      ";"2022JJ00";"Nederland                               ";"Land    ";"NL01      ";"20.6"
"4";"20300";"MW00000";"NL01      ";"2024JJ00";"Nederland                               ";"Land    ";"NL01      ";"15.3"
"5";"20300";"MW00000";"GM1680    ";"2012JJ00";"Aa en Hunze                             ";"Gemeente";"GM1680    ";"19.9"
"6";"20300";"MW00000";"GM1680    ";"2016JJ00";"Aa en Hunze                             ";"Gemeente";"GM1680    ";"14.8"
"7";"20300";"MW00000";"GM1680    ";"2020JJ00";"Aa en Hunze                             ";"Gemeente";"GM1680    ";"9.3"
"8";"20300";"MW00000";"GM1680    ";"2022JJ00";"Aa en Hunze                             ";"Gemeente";"GM1680    ";"14.6"
"9";"20300";"MW00000";"GM1680    ";"2024JJ00";"Aa en Hunze                             ";"Gemeente";"GM1680    ";"10.1"
"10";"20300";"MW00000";"WK168000  ";"2012JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168000  ";"18"
"11";"20300";"MW00000";"WK168000  ";"2016JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168000  ";"12.1"
"12";"20300";"MW00000";"WK168000  ";"2020JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168000  ";"7.6"
"13";"20300";"MW00000";"WK168000  ";"2022JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168000  ";"11.1"
"14";"20300";"MW00000";"WK168000  ";"2024JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168000  ";"8.4"
"15";"20300";"MW00000";"BU16800000";"2012JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800000";"18.5"
"16";"20300";"MW00000";"BU16800000";"2016JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800000";"12.4"
"17";"20300";"MW00000";"BU16800000";"2020JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800000";"7.7"
"18";"20300";"MW00000";"BU16800000";"2022JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800000";"11.2"
"19";"20300";"MW00000";"BU16800000";"2024JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800000";"8.5"
"20";"20300";"MW00000";"BU16800009";"2012JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800009";"8.3"
"21";"20300";"MW00000";"BU16800009";"2016JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800009";"7.3"
"22";"20300";"MW00000";"BU16800009";"2020JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800009";"5.9"
"23";"20300";"MW00000";"BU16800009";"2022JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800009";"8.6"
"24";"20300";"MW00000";"BU16800009";"2024JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800009";"5.1"
"25";"20300";"MW00000";"WK168001  ";"2012JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168001  ";"21.1"
"26";"20300";"MW00000";"WK168001  ";"2016JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168001  ";"14.4"
"27";"20300";"MW00000";"WK168001  ";"2020JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168001  ";"9.5"
"28";"20300";"MW00000";"WK168001  ";"2022JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168001  ";"14.1"
"29";"20300";"MW00000";"WK168001  ";"2024JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168001  ";"9.7"
"30";"20300";"MW00000";"BU16800100";"2012JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800100";"21.1"
"31";"20300";"MW00000";"BU16800100";"2016JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800100";"14.5"
"32";"20300";"MW00000";"BU16800100";"2020JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800100";"9.9"
"33";"20300";"MW00000";"BU16800100";"2022JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800100";"14.3"
"34";"20300";"MW00000";"BU16800100";"2024JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800100";"9.6"
"35";"20300";"MW00000";"BU16800109";"2012JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800109";"21"
"36";"20300";"MW00000";"BU16800109";"2016JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800109";"13.6"
"37";"20300";"MW00000";"BU16800109";"2020JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800109";"7.1"
"38";"20300";"MW00000";"BU16800109";"2022JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800109";"12.7"
"39";"20300";"MW00000";"BU16800109";"2024JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800109";"10.5"
"40";"20300";"MW00000";"WK168002  ";"2012JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168002  ";"21.3"
"41";"20300";"MW00000";"WK168002  ";"2016JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168002  ";"16.5"
"42";"20300";"MW00000";"WK168002  ";"2020JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168002  ";"6.9"
"43";"20300";"MW00000";"WK168002  ";"2022JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168002  ";"11.5"
"44";"20300";"MW00000";"WK168002  ";"2024JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168002  ";"8.3"
"45";"20300";"MW00000";"BU16800200";"2012JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800200";"17.5"
"46";"20300";"MW00000";"BU16800200";"2016JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800200";"10.8"
"47";"20300";"MW00000";"BU16800200";"2020JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800200";"7"
"48";"20300";"MW00000";"BU16800200";"2022JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800200";"11.8"
"49";"20300";"MW00000";"BU16800200";"2024JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800200";"8.7"
"50";"20300";"MW00000";"BU16800209";"2012JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800209";
"51";"20300";"MW00000";"BU16800209";"2016JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800209";
"52";"20300";"MW00000";"BU16800209";"2020JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800209";
"53";"20300";"MW00000";"BU16800209";"2022JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800209";
"54";"20300";"MW00000";"BU16800209";"2024JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800209";
"55";"20300";"MW00000";"WK168003  ";"2012JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168003  ";"16.5"
"56";"20300";"MW00000";"WK168003  ";"2016JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168003  ";"10.6"
"57";"20300";"MW00000";"WK168003  ";"2020JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168003  ";"7.4"
"58";"20300";"MW00000";"WK168003  ";"2022JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168003  ";"9.4"
"59";"20300";"MW00000";"WK168003  ";"2024JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168003  ";"6.7"
"60";"20300";"MW00000";"BU16800300";"2012JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800300";"16.7"
"61";"20300";"MW00000";"BU16800300";"2016JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800300";"10.7"
"62";"20300";"MW00000";"BU16800300";"2020JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800300";"7.5"
"63";"20300";"MW00000";"BU16800300";"2022JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800300";"9.2"
"64";"20300";"MW00000";"BU16800300";"2024JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800300";"6.6"
"65";"20300";"MW00000";"BU16800309";"2012JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800309";
"66";"20300";"MW00000";"BU16800309";"2016JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800309";
"67";"20300";"MW00000";"BU16800309";"2020JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800309";
"68";"20300";"MW00000";"BU16800309";"2022JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800309";
"69";"20300";"MW00000";"BU16800309";"2024JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800309";
"70";"20300";"MW00000";"WK168004  ";"2012JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168004  ";"19.8"
"71";"20300";"MW00000";"WK168004  ";"2016JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168004  ";"11.9"
"72";"20300";"MW00000";"WK168004  ";"2020JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168004  ";"6.5"
"73";"20300";"MW00000";"WK168004  ";"2022JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168004  ";"11.2"
"74";"20300";"MW00000";"WK168004  ";"2024JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168004  ";"7.9"
"75";"20300";"MW00000";"BU16800400";"2012JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800400";"20.3"
"76";"20300";"MW00000";"BU16800400";"2016JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800400";"12.2"
"77";"20300";"MW00000";"BU16800400";"2020JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800400";"7"
"78";"20300";"MW00000";"BU16800400";"2022JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800400";"11.7"
"79";"20300";"MW00000";"BU16800400";"2024JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800400";"7.4"
"80";"20300";"MW00000";"BU16800409";"2012JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800409";
"81";"20300";"MW00000";"BU16800409";"2016JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800409";
"82";"20300";"MW00000";"BU16800409";"2020JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800409";
"83";"20300";"MW00000";"BU16800409";"2022JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800409";
"84";"20300";"MW00000";"BU16800409";"2024JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800409";
"85";"20300";"MW00000";"WK168005  ";"2012JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168005  ";"14.6"
"86";"20300";"MW00000";"WK168005  ";"2016JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168005  ";"9.7"
"87";"20300";"MW00000";"WK168005  ";"2020JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168005  ";"6.3"
"88";"20300";"MW00000";"WK168005  ";"2022JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168005  ";"8.7"
"89";"20300";"MW00000";"WK168005  ";"2024JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168005  ";"6.8"
"90";"20300";"MW00000";"BU16800500";"2012JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800500";"14.6"
"91";"20300";"MW00000";"BU16800500";"2016JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800500";"10"
"92";"20300";"MW00000";"BU16800500";"2020JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800500";"6.4"
"93";"20300";"MW00000";"BU16800500";"2022JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800500";"8.8"
"94";"20300";"MW00000";"BU16800500";"2024JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800500";"6.9"
"95";"20300";"MW00000";"BU16800509";"2012JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800509";
"96";"20300";"MW00000";"BU16800509";"2016JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800509";
"97";"20300";"MW00000";"BU16800509";"2020JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800509";
"98";"20300";"MW00000";"BU16800509";"2022JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800509";
"99";"20300";"MW00000";"BU16800509";"2024JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800509";
"100";"20300";"MW00000";"WK168006  ";"2012JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168006  ";"18.8"
"101";"20300";"MW00000";"WK168006  ";"2016JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168006  ";"12.7"
"102";"20300";"MW00000";"WK168006  ";"2020JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168006  ";"7.6"
"103";"20300";"MW00000";"WK168006  ";"2022JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168006  ";"11.9"
"104";"20300";"MW00000";"WK168006  ";"2024JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168006  ";"8.2"
"105";"20300";"MW00000";"BU16800600";"2012JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800600";"18.7"
"106";"20300";"MW00000";"BU16800600";"2016JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800600";"12.6"
"107";"20300";"MW00000";"BU16800600";"2020JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800600";"7.6"
"108";"20300";"MW00000";"BU16800600";"2022JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800600";"12.1"
"109";"20300";"MW00000";"BU16800600";"2024JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800600";"8.3"
"110";"20300";"MW00000";"BU16800609";"2012JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800609";
"111";"20300";"MW00000";"BU16800609";"2016JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800609";
"112";"20300";"MW00000";"BU16800609";"2020JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800609";
"113";"20300";"MW00000";"BU16800609";"2022JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800609";
"114";"20300";"MW00000";"BU16800609";"2024JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800609";
"115";"20300";"MW00000";"WK168007  ";"2012JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168007  ";"18.9"
"116";"20300";"MW00000";"WK168007  ";"2016JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168007  ";"12.9"
"117";"20300";"MW00000";"WK168007  ";"2020JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168007  ";"7.9"
"118";"20300";"MW00000";"WK168007  ";"2022JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168007  ";"14.7"
"119";"20300";"MW00000";"WK168007  ";"2024JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168007  ";"10.4"
"120";"20300";"MW00000";"BU16800700";"2012JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800700";"18.9"
"121";"20300";"MW00000";"BU16800700";"2016JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800700";"12.9"
"122";"20300";"MW00000";"BU16800700";"2020JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800700";"7.9"
"123";"20300";"MW00000";"BU16800700";"2022JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800700";"14.7"
"124";"20300";"MW00000";"BU16800700";"2024JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800700";"10.4"
"125";"20300";"MW00000";"BU16800709";"2012JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800709";
"126";"20300";"MW00000";"BU16800709";"2016JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800709";
"127";"20300";"MW00000";"BU16800709";"2020JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800709";
"128";"20300";"MW00000";"BU16800709";"2022JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800709";
"129";"20300";"MW00000";"BU16800709";"2024JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800709";
"130";"20300";"MW00000";"WK168008  ";"2012JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168008  ";
"131";"20300";"MW00000";"WK168008  ";"2016JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168008  ";
"132";"20300";"MW00000";"WK168008  ";"2020JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168008  ";
"133";"20300";"MW00000";"WK168008  ";"2022JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168008  ";
"134";"20300";"MW00000";"WK168008  ";"2024JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168008  ";
"135";"20300";"MW00000";"BU16800800";"2012JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800800";
"136";"20300";"MW00000";"BU16800800";"2016JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800800";
"137";"20300";"MW00000";"BU16800800";"2020JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800800";
"138";"20300";"MW00000";"BU16800800";"2022JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800800";
"139";"20300";"MW00000";"BU16800800";"2024JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800800";
"140";"20300";"MW00000";"BU16800809";"2012JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800809";
"141";"20300";"MW00000";"BU16800809";"2016JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800809";
"142";"20300";"MW00000";"BU16800809";"2020JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800809";
"143";"20300";"MW00000";"BU16800809";"2022JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800809";
"144";"20300";"MW00000";"BU16800809";"2024JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800809";
"145";"20300";"MW00000";"WK168009  ";"2012JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168009  ";
"146";"20300";"MW00000";"WK168009  ";"2016JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168009  ";
"147";"20300";"MW00000";"WK168009  ";"2020JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168009  ";
"148";"20300";"MW00000";"WK168009  ";"2022JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168009  ";
"149";"20300";"MW00000";"WK168009  ";"2024JJ00";"Aa en Hunze                             ";"Wijk    ";"WK168009  ";
"150";"20300";"MW00000";"BU16800900";"2012JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800900";
"151";"20300";"MW00000";"BU16800900";"2016JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800900";
"152";"20300";"MW00000";"BU16800900";"2020JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800900";
"153";"20300";"MW00000";"BU16800900";"2022JJ00";"Aa en Hunze                             ";"Buurt   ";"BU16800900";
