"ID";"WijkenEnBuurten";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"IndelingswijzigingGemeenteWijkBuurt_4"
"0";"NL00      ";"Nederland                               ";"Land      ";"NL00      ";"."
"1";"GM1680    ";"Aa en Hunze                             ";"Gemeente  ";"GM1680    ";"1"
"2";"WK168000  ";"Aa en Hunze                             ";"Wijk      ";"WK168000  ";"1"
"3";"BU16800000";"Aa en Hunze                             ";"Buurt     ";"BU16800000";"1"
"4";"BU16800009";"Aa en Hunze                             ";"Buurt     ";"BU16800009";"1"
"5";"WK168001  ";"Aa en Hunze                             ";"Wijk      ";"WK168001  ";"1"
"6";"BU16800100";"Aa en Hunze                             ";"Buurt     ";"BU16800100";"1"
"7";"BU16800109";"Aa en Hunze                             ";"Buurt     ";"BU16800109";"1"
"8";"WK168002  ";"Aa en Hunze                             ";"Wijk      ";"WK168002  ";"1"
"9";"BU16800200";"Aa en Hunze                             ";"Buurt     ";"BU16800200";"1"
"10";"BU16800209";"Aa en Hunze                             ";"Buurt     ";"BU16800209";"1"
"11";"WK168003  ";"Aa en Hunze                             ";"Wijk      ";"WK168003  ";"1"
"12";"BU16800300";"Aa en Hunze                             ";"Buurt     ";"BU16800300";"1"
"13";"BU16800309";"Aa en Hunze                             ";"Buurt     ";"BU16800309";"1"
"14";"WK168004  ";"Aa en Hunze                             ";"Wijk      ";"WK168004  ";"1"
"15";"BU16800400";"Aa en Hunze                             ";"Buurt     ";"BU16800400";"1"
"16";"BU16800409";"Aa en Hunze                             ";"Buurt     ";"BU16800409";"1"
"17";"WK168005  ";"Aa en Hunze                             ";"Wijk      ";"WK168005  ";"1"
"18";"BU16800500";"Aa en Hunze                             ";"Buurt     ";"BU16800500";"1"
"19";"BU16800509";"Aa en Hunze                             ";"Buurt     ";"BU16800509";"1"
"20";"WK168006  ";"Aa en Hunze                             ";"Wijk      ";"WK168006  ";"1"
"21";"BU16800600";"Aa en Hunze                             ";"Buurt     ";"BU16800600";"1"
"22";"BU16800609";"Aa en Hunze                             ";"Buurt     ";"BU16800609";"1"
"23";"WK168007  ";"Aa en Hunze                             ";"Wijk      ";"WK168007  ";"1"
"24";"BU16800700";"Aa en Hunze                             ";"Buurt     ";"BU16800700";"1"
"25";"BU16800709";"Aa en Hunze                             ";"Buurt     ";"BU16800709";"1"
"26";"WK168008  ";"Aa en Hunze                             ";"Wijk      ";"WK168008  ";"1"
"27";"BU16800800";"Aa en Hunze                             ";"Buurt     ";"BU16800800";"1"
"28";"BU16800809";"Aa en Hunze                             ";"Buurt     ";"BU16800809";"1"
"29";"WK168009  ";"Aa en Hunze                             ";"Wijk      ";"WK168009  ";"1"
"30";"BU16800900";"Aa en Hunze                             ";"Buurt     ";"BU16800900";"1"
"31";"BU16800909";"Aa en Hunze                             ";"Buurt     ";"BU16800909";"1"
"32";"WK168011  ";"Aa en Hunze                             ";"Wijk      ";"WK168011  ";"1"
"33";"BU16801100";"Aa en Hunze                             ";"Buurt     ";"BU16801100";"1"
"34";"BU16801109";"Aa en Hunze                             ";"Buurt     ";"BU16801109";"1"
"35";"WK168012  ";"Aa en Hunze                             ";"Wijk      ";"WK168012  ";"1"
"36";"BU16801200";"Aa en Hunze                             ";"Buurt     ";"BU16801200";"1"
"37";"BU16801209";"Aa en Hunze                             ";"Buurt     ";"BU16801209";"1"
"38";"WK168013  ";"Aa en Hunze                             ";"Wijk      ";"WK168013  ";"1"
"39";"BU16801300";"Aa en Hunze                             ";"Buurt     ";"BU16801300";"1"
"40";"BU16801309";"Aa en Hunze                             ";"Buurt     ";"BU16801309";"1"
"41";"WK168014  ";"Aa en Hunze                             ";"Wijk      ";"WK168014  ";"1"
"42";"BU16801400";"Aa en Hunze                             ";"Buurt     ";"BU16801400";"1"
"43";"BU16801401";"Aa en Hunze                             ";"Buurt     ";"BU16801401";"1"
"44";"BU16801409";"Aa en Hunze                             ";"Buurt     ";"BU16801409";"1"
"45";"WK168015  ";"Aa en Hunze                             ";"Wijk      ";"WK168015  ";"1"
"46";"BU16801500";"Aa en Hunze                             ";"Buurt     ";"BU16801500";"1"
"47";"BU16801501";"Aa en Hunze                             ";"Buurt     ";"BU16801501";"1"
"48";"BU16801509";"Aa en Hunze                             ";"Buurt     ";"BU16801509";"1"
"49";"WK168016  ";"Aa en Hunze                             ";"Wijk      ";"WK168016  ";"1"
"50";"BU16801600";"Aa en Hunze                             ";"Buurt     ";"BU16801600";"1"
"51";"BU16801601";"Aa en Hunze                             ";"Buurt     ";"BU16801601";"1"
"52";"BU16801609";"Aa en Hunze                             ";"Buurt     ";"BU16801609";"1"
"53";"WK168017  ";"Aa en Hunze                             ";"Wijk      ";"WK168017  ";"1"
"54";"BU16801700";"Aa en Hunze                             ";"Buurt     ";"BU16801700";"1"
"55";"BU16801709";"Aa en Hunze                             ";"Buurt     ";"BU16801709";"1"
"56";"WK168018  ";"Aa en Hunze                             ";"Wijk      ";"WK168018  ";"1"
"57";"BU16801800";"Aa en Hunze                             ";"Buurt     ";"BU16801800";"1"
"58";"BU16801801";"Aa en Hunze                             ";"Buurt     ";"BU16801801";"1"
"59";"BU16801802";"Aa en Hunze                             ";"Buurt     ";"BU16801802";"1"
"60";"BU16801809";"Aa en Hunze                             ";"Buurt     ";"BU16801809";"1"
"61";"WK168019  ";"Aa en Hunze                             ";"Wijk      ";"WK168019  ";"1"
"62";"BU16801900";"Aa en Hunze                             ";"Buurt     ";"BU16801900";"1"
"63";"BU16801901";"Aa en Hunze                             ";"Buurt     ";"BU16801901";"1"
"64";"BU16801902";"Aa en Hunze                             ";"Buurt     ";"BU16801902";"1"
"65";"BU16801903";"Aa en Hunze                             ";"Buurt     ";"BU16801903";"1"
